MAE,MSE,Precision,Recall
0.7702452950631307,1.7594157283407295,0.3054,0.11003548773847135
0.767808796841734,1.7532497873780881,0.31389999999999996,0.10925576163446524
0.7777709444956001,1.7793151932728692,0.2921,0.10324301048101524
0.7702452950631307,1.7594157283407295,0.3054,0.11003548773847135
0.767808796841734,1.7532497873780881,0.31389999999999996,0.10925576163446524
0.7777709444956001,1.7793151932728692,0.2921,0.10324301048101524
0.7253687244643905,1.6462892047812274,0.3394,0.11813513073244705
0.7278843852412561,1.6493586400924198,0.3371,0.1164930639431735
0.7391379348087519,1.681721158944001,0.32430000000000003,0.11566098761530084
0.7236575825924206,1.6466443639754675,0.3346,0.11840871834780045
0.7260460692493754,1.6464182347298757,0.3426,0.11759106960509784
0.7390205928952106,1.6827448785825911,0.3187,0.11361416656027135
